Sample ID	Crop	Taxonomy	Level of improvement	"Country, State"	Region
AGG47001CHIC1-B00001-9-52	Chickpea	Cicer arietinum	Landrace	"Ukraine, Dnipropetrovsk"	Eastern Europe
AGG47003CHIC2-B00001-9-53	Chickpea	Cicer arietinum	Advanced Cultivar	Kyrgyzstan	Central Asia
AGG47004CHIC2-B00001-9-54	Chickpea	Cicer arietinum	Landrace	Kyrgyzstan	Central Asia
AGG47009CHIC2-B00001-9-55	Chickpea	Cicer arietinum	Advanced Cultivar	"Russian Federation, Saratov"	Eastern Europe
AGG47011CHIC2-B00001-9-56	Chickpea	Cicer arietinum	Advanced Cultivar	"Russian Federation, Krasnodar"	Eastern Europe
AGG47016CHIC2-B00001-9-57	Chickpea	Cicer arietinum	Advanced Cultivar	Kyrgyzstan	Central Asia
AGG47024CHIC1-B00001-9-58	Chickpea	Cicer arietinum	Landrace	Bulgaria	Eastern Europe
AGG47032CHIC2-B00001-9-59	Chickpea	Cicer arietinum	Landrace	Moldova	Eastern Europe
AGG47036CHIC2-B00001-9-60	Chickpea	Cicer arietinum	Landrace	Armenia	Other
AGG47047CHIC2-B00001-9-61	Chickpea	Cicer arietinum	Advanced Cultivar	Azerbaijan	Other
AGG47050CHIC2-B00001-9-62	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47054CHIC2-B00001-9-63	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47055CHIC1-B00001-9-64	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47058CHIC2-B00001-9-65	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47059CHIC1-B00001-9-66	Chickpea	Cicer arietinum	Landrace	Azerbaijan	Other
AGG47072CHIC2-B00001-9-67	Chickpea	Cicer arietinum	Landrace	Uzbekistan	Central Asia
AGG47075CHIC2-B00001-9-68	Chickpea	Cicer arietinum	Landrace	Kyrgyzstan	Central Asia
AGG47076CHIC2-B00001-9-69	Chickpea	Cicer arietinum	Landrace	Georgia	Other
